project,arc,arc_type,sequence,top_folder,path,name,size_bytes,modified_utc,mapped_by,needs_review
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/FormingTheAccords-checkpoint.ipynb,FormingTheAccords-checkpoint.ipynb,49188,2025-11-22T01:28:59.602523+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/MANUSKRIPT-checkpoint,MANUSKRIPT-checkpoint,11,2025-11-14T21:37:29.534691+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/Omniversal Aether_ Magnetic Map-checkpoint.png,Omniversal Aether_ Magnetic Map-checkpoint.png,2027603,2025-11-14T21:37:29.538691+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/blackswan-checkpoint.txt,blackswan-checkpoint.txt,4518,2025-11-15T10:32:53.981278+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/infos-checkpoint.txt,infos-checkpoint.txt,245,2025-11-14T21:37:29.541904+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/labels-checkpoint.txt,labels-checkpoint.txt,44,2025-11-14T21:37:29.541904+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/plots-checkpoint.xml,plots-checkpoint.xml,516,2025-11-14T21:37:29.542433+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/settings-checkpoint.txt,settings-checkpoint.txt,110,2025-11-15T10:26:56.767136+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/status-checkpoint.txt,status-checkpoint.txt,254,2025-11-14T21:37:29.542433+00:00,default,yes
The Black Swan Accords – Daughter of the Dawn,Book 2 - TBD,book,3,.ipynb_checkpoints,.ipynb_checkpoints/summary-checkpoint.txt,summary-checkpoint.txt,595,2025-11-15T10:26:56.766136+00:00,default,yes
