Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	FEMA	OZFZ22212085	198078444786	1	100	Song	US	0	0.00391701	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Eyes Wide Open	OZFZ22212081	198078444786	1	100	Song	US	0	0.00841147	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	The Story Celebrated Throughout Time	OZHN92001340	198082358857	2	100	Song	US	0	0.01682294	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Behold A Pale Horse	OZHN92001331	198082358857	11	100	Song	US	0	0.07257582	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Warning Shots	OZHN92001330	198082358857	3	100	Song	US	0	0.01639861	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Syntax	QZFZ42008685	198081390872	1	100	Song	US	0	0.00391701	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Hocus Pocus	QZFZ42008684	198081390872	3	100	Song	US	0	0.02153456	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Full Disclosure	QZFZ42008677	198081390872	3	100	Song	US	0	0.02089007	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Swordfish	QZFZ42008673	198081390872	1	100	Song	US	0	0.00391701	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	The Devil Is In The Details	QZWFN2366283	198081496550	1	100	Song	US	0	0.00841147	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Relentless	QZDA62424849	198081496550	1	100	Song	US	0	0.00841147	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Down The Rabbit Hole	QZDA62424847	198081496550	1	100	Song	NG	0	0.00047835	0.00000000
2025-11-28	2025-11-28	2025-10	Apple Music	Hawk Eye The Rapper	Psychological Warfare	QZDA62424846	198081496550	3	100	Song	US	0	0.01698406	0.00000000
2025-11-27	2025-11-27	2025-10	Apple Music	Hawk Eye The Rapper	The Shadow Is Rising	QZDA62424853	198081496550	1	100	Song	JP	0	0.00484072	0.00000000
