Track Title,Artist,ISRC,Release Date,MLC Status,BMI Status,Copyright Status,Total Streams,Total Earnings USD,Spotify URL,Internal Notes
Will You Listen?,Hawk Eye The Rapper,QZFZ62027665,2020-04-15,Unregistered,Registered,Unfiled,1320,3.91906469,https://open.spotify.com/track/0NfLaGHRzWYCQLzi89Alhu,Imported from EverLight merge
Stay Real,Hawk Eye The Rapper,QZFZ42008686,2020-03-01,Unregistered,Registered,Unfiled,27,0.4006672,https://open.spotify.com/track/4r14gqWSTTjikrJ9Xicdrl,Imported from EverLight merge
Syntax,Hawk Eye The Rapper,QZFZ42008685,2020-03-01,Unregistered,Registered,Unfiled,5,0.34844045,https://open.spotify.com/track/24tzVu4X9ZH93FPIZWybjd,Imported from EverLight merge
Monumental,Hawk Eye The Rapper,QZFZ42008682,2020-03-01,Unregistered,Registered,Unfiled,9,38.22851582,https://open.spotify.com/track/4HD1li1yGAjezX91nHdJMc,Imported from EverLight merge
Haunted,Hawk Eye The Rapper,QZFZ42008681,,Unregistered,Registered,Unfiled,,1.2734600600000001,,Imported from EverLight merge
Ashes,Hawk Eye The Rapper,QZFZ42008680,2020-03-01,Unregistered,Registered,Unfiled,1617,3.71861522,https://open.spotify.com/track/0fOGZtxk6c4Z2HlSmkTtBs,Imported from EverLight merge
Fuck Society,Hawk Eye The Rapper,QZFZ42008679,2020-03-01,Unregistered,Registered,Unfiled,42,0.50963566,https://open.spotify.com/track/1OO7Y5MGQ4igWj0RWplKl9,Imported from EverLight merge
Lifted,Hawk Eye The Rapper,QZFZ42008678,,Unregistered,Registered,Unfiled,,0.28372652,,Imported from EverLight merge
Full Disclosure,Hawk Eye The Rapper,QZFZ42008677,2020-03-01,Unregistered,Registered,Unfiled,1029,5.63973005,https://open.spotify.com/track/6FZy83hBswP0jtm4i5u7tK,Imported from EverLight merge
Shakur (Feat. Zenith),Hawk Eye The Rapper,QZFZ42008675,2020-03-01,Unregistered,Registered,Unfiled,3102,0.044556939999999996,https://open.spotify.com/track/6yhKwvw5a1Uh8MBaxApWgw,Imported from EverLight merge
Shakur (Feat. Zenith),Hawk Eye The Rapper,QZFZ42008675,2020-03-01,Unregistered,Registered,Unfiled,3102,3.06772851,https://open.spotify.com/track/6yhKwvw5a1Uh8MBaxApWgw,Imported from EverLight merge
Swordfish,Hawk Eye The Rapper,QZFZ42008673,2020-03-01,Unregistered,Registered,Unfiled,25,0.93662546,https://open.spotify.com/track/2g2oYmW6mHPN2WHCdBy6zC,Imported from EverLight merge
Spiteful Poetry,Hawk Eye The Rapper,QZDA62424851,2024-03-01,Unregistered,Registered,Unfiled,10,0.12043530000000001,https://open.spotify.com/track/5368x5PO6bpvkeu5EHhP7D,Imported from EverLight merge
Never Heard Of Me?,Hawk Eye The Rapper,QZDA62424850,2024-03-01,Unregistered,Registered,Unfiled,4,0.10902157,https://open.spotify.com/track/6AmMuprXBhU8sG255NA4ge,Imported from EverLight merge
The Game,Hawk Eye The Rapper,QZDA62424852,2024-03-01,Unregistered,Registered,Unfiled,194,0.09320992,https://open.spotify.com/track/3yXvz3aCceoMrmqz7OQ08P,Imported from EverLight merge
Relentless,Hawk Eye The Rapper,QZDA62424849,2024-03-01,Unregistered,Registered,Unfiled,18,0.29534058,https://open.spotify.com/track/7M84VijWzHVML3C3dXk4CU,Imported from EverLight merge
Synthesis,Hawk Eye The Rapper,QZDA62424855,2024-03-01,Unregistered,Registered,Unfiled,45,0.28952100000000003,https://open.spotify.com/track/1fSTlMhIHwI9RpKbEDdAo7,Imported from EverLight merge
When Shit Gets Real,Hawk Eye The Rapper,QZDA62424854,2024-03-01,Unregistered,Registered,Unfiled,287,0.10241666,https://open.spotify.com/track/4DdAfZ2LbJ3VM8DkIrBV40,Imported from EverLight merge
