Work Title,ISRC,Registration Type,Status
Will You Listen?,QZFZ62027665,Both,Unfiled
Stay Real,QZFZ42008686,Both,Unfiled
Syntax,QZFZ42008685,Both,Unfiled
Monumental,QZFZ42008682,Both,Unfiled
Haunted,QZFZ42008681,Both,Unfiled
Ashes,QZFZ42008680,Both,Unfiled
Fuck Society,QZFZ42008679,Both,Unfiled
Lifted,QZFZ42008678,Both,Unfiled
Full Disclosure,QZFZ42008677,Both,Unfiled
Shakur (Feat. Zenith),QZFZ42008675,Both,Unfiled
Shakur (Feat. Zenith),QZFZ42008675,Both,Unfiled
Swordfish,QZFZ42008673,Both,Unfiled
Spiteful Poetry,QZDA62424851,Both,Unfiled
Never Heard Of Me?,QZDA62424850,Both,Unfiled
The Game,QZDA62424852,Both,Unfiled
Relentless,QZDA62424849,Both,Unfiled
Synthesis,QZDA62424855,Both,Unfiled
When Shit Gets Real,QZDA62424854,Both,Unfiled
Psychological Warfare,QZDA62424846,Both,Unfiled
Krystal Klear,QZDA62424857,Both,Unfiled
Reincarnated 2 Resist,QZFZ22212091,Both,Unfiled
Legion,QZFZ22212089,Both,Unfiled
Artificial Intelligence,QZFZ22212088,Both,Unfiled
Avalanche,QZFZ22212087,Both,Unfiled
Fema,QZFZ22212085,Both,Unfiled
Implants,QZFZ22212083,Both,Unfiled
Eyes Wide Open,QZFZ22212081,Both,Unfiled
Soft Disclosure,QZFZ22212079,Both,Unfiled
The Story Celebrated Throughout Time,QZHN92001340,Both,Unfiled
Semi-Automatic,QZHN92001337,Both,Unfiled
Menace To Society,QZHN92001336,Both,Unfiled
Menace To Society,QZHN92001336,Both,Unfiled
Whistle Blower,QZHN92001333,Both,Unfiled
Kamikaze,QZHN92001332,Both,Unfiled
Behold A Pale Horse,QZHN92001331,Both,Unfiled
Behold A Pale Horse,QZHN92001331,Both,Unfiled
Psyops,QZHN32092792,Both,Unfiled
Reincarnated 2 Resist,QZK6L2223964,Both,Unfiled
Artificial Intelligence,QZK6L2223961,Both,Unfiled
Avalanche,QZK6L2223960,Both,Unfiled
Illuminati,QZK6L2223957,Both,Unfiled
Soft Disclosure,QZK6L2223953,Both,Unfiled
Syntax,QZK6N2262195,Both,Unfiled
Hocus Pocus,QZK6N2262194,Both,Unfiled
Trafficked,QZK6N2262193,Both,Unfiled
Monumental,QZK6N2262192,Both,Unfiled
Ashes,QZK6N2262190,Both,Unfiled
Fuck Society,QZK6N2262189,Both,Unfiled
Lifted,QZK6N2262188,Both,Unfiled
Full Disclosure,QZK6N2262187,Both,Unfiled
Last One Left,QZK6N2262186,Both,Unfiled
Mic Check,QZK6N2262184,Both,Unfiled
Mind Kontrol,QZFZ62185044,Both,Unfiled
K.T.,QZHN92001339,Both,Unfiled
K.T.,QZHN92001339,Both,Unfiled
Reverse This Curse,QZHN92001338,Both,Unfiled
Scripture,QZHN92001335,Both,Unfiled
Superstitions,QZHN92001334,Both,Unfiled
Warning Shots,QZHN92001330,Both,Unfiled
Psyops,QZHN52064806,Both,Unfiled
The Story Of Our Former Glory,QZFZ42008687,Both,Unfiled
The Story Of Our Former Glory,QZFZ42008687,Both,Unfiled
Hocus Pocus,QZFZ42008684,Both,Unfiled
Trafficked,QZFZ42008683,Both,Unfiled
Last One Left,QZFZ42008676,Both,Unfiled
Mic Check,QZFZ42008674,Both,Unfiled
When My Elites Surround,QZK6L2223963,Both,Unfiled
Legion,QZK6L2223962,Both,Unfiled
The Antidote,QZK6L2223959,Both,Unfiled
Fema,QZK6L2223958,Both,Unfiled
Delta Squad,QZK6L2223956,Both,Unfiled
Eyes Wide Open,QZK6L2223955,Both,Unfiled
Abreactions,QZK6L2223954,Both,Unfiled
The Story Of Our Former Glory,QZK6N2262197,Both,Unfiled
Stay Real,QZK6N2262196,Both,Unfiled
Haunted,QZK6N2262191,Both,Unfiled
Shakur (Feat. Zenith The Queen),QZK6N2262185,Both,Unfiled
Swordfish,QZK6N2262183,Both,Unfiled
When My Elites Surround,QZFZ22212090,Both,Unfiled
The Antidote,QZFZ22212086,Both,Unfiled
Illuminati,QZFZ22212084,Both,Unfiled
Delta Squad,QZFZ22212082,Both,Unfiled
Abreactions,QZFZ22212080,Both,Unfiled
Incantations,QZFZ42192650,Both,Unfiled
The Shadow Is Rising,QZDA62424853,Both,Unfiled
The Devil'S In The Details,QZWFN2366283,Both,Unfiled
Domestic Terrorist,QZDA62424848,Both,Unfiled
Down The Rabbit Hole,QZDA62424847,Both,Unfiled
Invokation,QZDA62424856,Both,Unfiled
Will You Listen?,,Both,Unfiled
Soft Disclosure,OZFZ22212079,Both,Unfiled
Abreactions,OZFZ22212080,Both,Unfiled
Eyes Wide Open,OZFZ22212081,Both,Unfiled
Delta Squad,OZFZ22212082,Both,Unfiled
Implants,OZFZ22212083,Both,Unfiled
Illuminati,OZFZ22212084,Both,Unfiled
FEMA,OZFZ22212085,Both,Unfiled
The Antidote,OZFZ22212086,Both,Unfiled
Avalanche,OZFZ22212087,Both,Unfiled
Artificial Intelligence,OZFZ22212088,Both,Unfiled
Legion,OZFZ22212089,Both,Unfiled
When My Elites Surround,OZFZ22212090,Both,Unfiled
Reincarnated 2 Resist,OZFZ22212091,Both,Unfiled
Warning Shots,OZHN92001330,Both,Unfiled
Behold A Pale Horse,OZHN92001331,Both,Unfiled
Kamikaze,OZHN92001332,Both,Unfiled
Whistle Blower,OZHN92001333,Both,Unfiled
Superstitions,OZHN92001334,Both,Unfiled
Scripture,OZHN92001335,Both,Unfiled
Menace To Society,OZHN92001336,Both,Unfiled
Semi-Automatic,OZHN92001337,Both,Unfiled
Reverse This Curse,OZHN92001338,Both,Unfiled
K.T.,OZHN92001339,Both,Unfiled
The Story Celebrated Throughout Time,OZHN92001340,Both,Unfiled
Malicious,QZDA62408794,Both,Unfiled
Gang Shit,QZDA62408795,Both,Unfiled
The MotherFucking Problem,QZDA62408796,Both,Unfiled
I'm Him,QZDA62408797,Both,Unfiled
Return Of Kings,QZHNB2443344,Both,Unfiled
The Vow,QZK6G2540773,Both,Unfiled
Politicians (feat. Symba),QZZ762479215,Both,Unfiled
