Track Title,ISRC,Issue Group,Severity,Resolution Status
Will You Listen?,QZFZ62027665,Critical,Critical,Open
Stay Real,QZFZ42008686,Critical,Critical,Open
Syntax,QZFZ42008685,Critical,Critical,Open
Monumental,QZFZ42008682,Critical,Critical,Open
Haunted,QZFZ42008681,,Critical,Open
Ashes,QZFZ42008680,Critical,Critical,Open
Fuck Society,QZFZ42008679,Critical,Critical,Open
Lifted,QZFZ42008678,,Critical,Open
Full Disclosure,QZFZ42008677,Critical,Critical,Open
Shakur (Feat. Zenith),QZFZ42008675,Critical,Critical,Open
Shakur (Feat. Zenith),QZFZ42008675,Critical,Critical,Open
Swordfish,QZFZ42008673,Critical,Critical,Open
Spiteful Poetry,QZDA62424851,Critical,Critical,Open
Never Heard Of Me?,QZDA62424850,Critical,Critical,Open
The Game,QZDA62424852,Critical,Critical,Open
Relentless,QZDA62424849,Critical,Critical,Open
Synthesis,QZDA62424855,Critical,Critical,Open
When Shit Gets Real,QZDA62424854,Critical,Critical,Open
Psychological Warfare,QZDA62424846,Critical,Critical,Open
Krystal Klear,QZDA62424857,Critical,Critical,Open
Reincarnated 2 Resist,QZFZ22212091,,Critical,Open
Legion,QZFZ22212089,,Critical,Open
Artificial Intelligence,QZFZ22212088,,Critical,Open
Avalanche,QZFZ22212087,,Critical,Open
Fema,QZFZ22212085,,Critical,Open
Implants,QZFZ22212083,Critical,Critical,Open
Eyes Wide Open,QZFZ22212081,,Critical,Open
Soft Disclosure,QZFZ22212079,,Critical,Open
The Story Celebrated Throughout Time,QZHN92001340,Critical,Critical,Open
Semi-Automatic,QZHN92001337,Critical,Critical,Open
Menace To Society,QZHN92001336,Critical,Critical,Open
Menace To Society,QZHN92001336,Critical,Critical,Open
Whistle Blower,QZHN92001333,Critical,Critical,Open
Kamikaze,QZHN92001332,Critical,Critical,Open
Behold A Pale Horse,QZHN92001331,Critical,Critical,Open
Behold A Pale Horse,QZHN92001331,Critical,Critical,Open
Psyops,QZHN32092792,,Critical,Open
Reincarnated 2 Resist,QZK6L2223964,Critical,Critical,Open
Artificial Intelligence,QZK6L2223961,Critical,Critical,Open
Avalanche,QZK6L2223960,Critical,Critical,Open
Illuminati,QZK6L2223957,Critical,Critical,Open
Soft Disclosure,QZK6L2223953,Critical,Critical,Open
Syntax,QZK6N2262195,Critical,Critical,Open
Hocus Pocus,QZK6N2262194,Critical,Critical,Open
Trafficked,QZK6N2262193,Critical,Critical,Open
Monumental,QZK6N2262192,Critical,Critical,Open
Ashes,QZK6N2262190,Critical,Critical,Open
Fuck Society,QZK6N2262189,Critical,Critical,Open
Lifted,QZK6N2262188,Partial,Critical,Open
Full Disclosure,QZK6N2262187,Critical,Critical,Open
Last One Left,QZK6N2262186,Critical,Critical,Open
Mic Check,QZK6N2262184,Critical,Critical,Open
Mind Kontrol,QZFZ62185044,Critical,Critical,Open
K.T.,QZHN92001339,Critical,Critical,Open
K.T.,QZHN92001339,Critical,Critical,Open
Reverse This Curse,QZHN92001338,Critical,Critical,Open
Scripture,QZHN92001335,Critical,Critical,Open
Superstitions,QZHN92001334,Critical,Critical,Open
Warning Shots,QZHN92001330,Critical,Critical,Open
Psyops,QZHN52064806,Critical,Critical,Open
The Story Of Our Former Glory,QZFZ42008687,Critical,Critical,Open
The Story Of Our Former Glory,QZFZ42008687,Critical,Critical,Open
Hocus Pocus,QZFZ42008684,Critical,Critical,Open
Trafficked,QZFZ42008683,Critical,Critical,Open
Last One Left,QZFZ42008676,Critical,Critical,Open
Mic Check,QZFZ42008674,Critical,Critical,Open
When My Elites Surround,QZK6L2223963,Critical,Critical,Open
Legion,QZK6L2223962,Critical,Critical,Open
The Antidote,QZK6L2223959,Critical,Critical,Open
Fema,QZK6L2223958,Critical,Critical,Open
Delta Squad,QZK6L2223956,Critical,Critical,Open
Eyes Wide Open,QZK6L2223955,Critical,Critical,Open
Abreactions,QZK6L2223954,Critical,Critical,Open
The Story Of Our Former Glory,QZK6N2262197,Critical,Critical,Open
Stay Real,QZK6N2262196,Critical,Critical,Open
Haunted,QZK6N2262191,Partial,Critical,Open
Shakur (Feat. Zenith The Queen),QZK6N2262185,Critical,Critical,Open
Swordfish,QZK6N2262183,Critical,Critical,Open
When My Elites Surround,QZFZ22212090,,Critical,Open
The Antidote,QZFZ22212086,,Critical,Open
Illuminati,QZFZ22212084,,Critical,Open
Delta Squad,QZFZ22212082,,Critical,Open
Abreactions,QZFZ22212080,,Critical,Open
Incantations,QZFZ42192650,Critical,Critical,Open
The Shadow Is Rising,QZDA62424853,Critical,Critical,Open
The Devil'S In The Details,QZWFN2366283,Critical,Critical,Open
Domestic Terrorist,QZDA62424848,Critical,Critical,Open
Down The Rabbit Hole,QZDA62424847,Critical,Critical,Open
Invokation,QZDA62424856,Critical,Critical,Open
Will You Listen?,,,Critical,Open
Soft Disclosure,OZFZ22212079,Critical,Critical,Open
Abreactions,OZFZ22212080,Critical,Critical,Open
Eyes Wide Open,OZFZ22212081,Critical,Critical,Open
Delta Squad,OZFZ22212082,Critical,Critical,Open
Implants,OZFZ22212083,Critical,Critical,Open
Illuminati,OZFZ22212084,Critical,Critical,Open
FEMA,OZFZ22212085,Critical,Critical,Open
The Antidote,OZFZ22212086,Critical,Critical,Open
Avalanche,OZFZ22212087,Critical,Critical,Open
Artificial Intelligence,OZFZ22212088,Critical,Critical,Open
Legion,OZFZ22212089,Critical,Critical,Open
When My Elites Surround,OZFZ22212090,Critical,Critical,Open
Reincarnated 2 Resist,OZFZ22212091,Critical,Critical,Open
Warning Shots,OZHN92001330,Critical,Critical,Open
Behold A Pale Horse,OZHN92001331,Critical,Critical,Open
Kamikaze,OZHN92001332,Critical,Critical,Open
Whistle Blower,OZHN92001333,Critical,Critical,Open
Superstitions,OZHN92001334,Critical,Critical,Open
Scripture,OZHN92001335,Critical,Critical,Open
Menace To Society,OZHN92001336,Critical,Critical,Open
Semi-Automatic,OZHN92001337,Critical,Critical,Open
Reverse This Curse,OZHN92001338,Critical,Critical,Open
K.T.,OZHN92001339,Critical,Critical,Open
